;hash_id;name;price;latitude;longitude;category_main_cb;category_type_cb;category_sub_cb;type_of_flat;size_m
0;887100492;Prodej bytu 3+kk 106 m²;9471000;50.129543640188;14.114351359812007;1;1;6;3+kk;106.0
1;417830220;Pronájem bytu 3+1 113 m²;23000;49.74310764018799;16.480248359812006;1;2;7;-;-
2;2765751628;Pronájem bytu 1+kk 43 m²;14000;49.17607964018799;16.634126359812008;1;2;2;-;-
3;3190953292;Pronájem bytu 2+kk 84 m²;27000;50.04085564018799;14.239237359812007;1;2;4;-;-
4;2422809932;Pronájem bytu 1+kk 69 m²;27000;50.08730364018799;14.464577359812006;1;2;2;-;-
5;2450330956;Pronájem bytu 1+kk 51 m²;23000;50.08730364018799;14.464577359812006;1;2;2;-;-
6;3465348428;Pronájem bytu 1+kk 37 m²;19000;50.08730364018799;14.464577359812006;1;2;2;-;-
7;2927509084;Prodej bytu 2+kk 85 m²;8738000;50.220356640187994;14.118342359812006;1;1;4;2+kk;85.0
8;2502632780;Prodej bytu 2+kk 80 m²;8450000;50.220432640187994;14.117476359812006;1;1;4;2+kk;80.0
9;3787466060;Pronájem bytu 2+kk 68 m²;34000;50.06470964018799;14.502489359812007;1;2;4;-;-
10;23668044;Pronájem bytu 2+kk 91 m²;53000;50.06470964018799;14.502489359812007;1;2;4;-;-
11;2597848396;Pronájem bytu 3+1 129 m²;42000;50.07549764018799;14.431746359812006;1;2;7;-;-
12;2424431948;Prodej bytu 3+kk 96 m²;12374000;50.07595864018799;14.484436359812007;1;1;6;3+kk;96.0
13;547099980;Prodej bytu 4+kk 132 m²;9911000;49.996635640187996;14.480589359812006;1;1;8;4+kk;132.0
14;4031932764;Prodej bytu 3+1 123 m² (Mezonet);7214000;50.207516640188;12.900695359812007;1;1;7;3+1;123.0
15;2729727564;Prodej bytu 3+1 142 m²;8016000;50.21500464018799;12.882208359812006;1;1;7;3+1;142.0
16;2377344076;Prodej bytu 2+1 88 m²;2696000;50.220051640188;12.857971359812007;1;1;5;2+1;88.0
17;283325772;Prodej bytu 1+kk 46 m²;11587000;50.072605640187994;14.421832359812006;1;1;2;1+kk;46.0
18;599835980;Prodej bytu 4+kk 378 m² (Mezonet);0;50.066078640187996;14.471184359812007;1;1;8;4+kk;378.0
19;3345560908;Prodej bytu 3+1 120 m²;21323000;50.061638640187994;14.431232359812007;1;1;7;3+1;120.0
20;3479618892;Prodej bytu 5+kk 211 m²;26234000;50.08599164018799;14.450006359812006;1;1;10;5+kk;211.0
21;1175246156;Pronájem bytu 5+1 327 m²;174000;50.074181640187994;14.480741359812006;1;2;11;-;-
22;1672074572;Prodej bytu 3+kk 128 m²;26089000;50.089077640187995;14.453433359812006;1;1;6;3+kk;128.0
23;2175133004;Prodej bytu 2+1 77 m²;12389000;50.055893640187996;14.438102359812007;1;1;5;2+1;77.0
24;2314335564;Pronájem bytu 4+kk 247 m²;131000;50.06065764018799;14.420160359812007;1;2;8;-;-
25;2387576140;Pronájem bytu 4+1 287 m²;167000;50.073185640187994;14.438636359812007;1;2;9;-;-
26;3163608396;Pronájem bytu 3+kk 129 m²;51000;50.06065764018799;14.420160359812007;1;2;6;-;-
27;3324822860;Prodej bytu 2+kk 67 m²;11645000;50.066078640187996;14.471184359812007;1;1;4;2+kk;67.0
28;3383551308;Prodej bytu 2+kk 154 m²;0;50.073185640187994;14.438636359812007;1;1;4;2+kk;154.0
29;4205049164;Pronájem bytu 2+kk 141 m²;72000;50.04993464018799;14.432326359812008;1;2;4;-;-
30;1215235404;Prodej bytu 1+kk 40 m²;6544000;50.04762664018799;14.424016359812006;1;1;2;1+kk;40.0
31;1535640908;Prodej bytu 3+kk 99 m²;9459000;50.012623640187996;14.542510359812006;1;1;6;3+kk;99.0
32;3098958172;Prodej bytu 3+1 122 m²;11002000;50.116623640187996;14.464812359812006;1;1;7;3+1;122.0
33;3796043084;Pronájem bytu 5+kk 364 m²;109000;50.061638640187994;14.431232359812007;1;2;10;-;-
34;58975564;Pronájem bytu 3+1 201 m²;72000;50.061638640187994;14.431232359812007;1;2;7;-;-
35;816919884;Pronájem bytu 2+1 96 m²;36000;50.061638640187994;14.431232359812007;1;2;5;-;-
36;1495303500;Pronájem bytu 4+1 257 m²;189000;50.055893640187996;14.438102359812007;1;2;9;-;-
37;1787331916;Pronájem bytu 4+kk 228 m²;103000;50.060802640187994;14.452565359812006;1;2;8;-;-
38;1946236236;Pronájem bytu 5+1 276 m²;188000;50.069900640187996;14.432285359812006;1;2;11;-;-
39;3226080588;Pronájem bytu 2+kk 84 m²;43000;50.075687640187994;14.340277359812006;1;2;4;-;-
40;3419071820;Pronájem bytu 3+kk 100 m²;57000;50.073185640187994;14.438636359812007;1;2;6;-;-
41;3534828876;Pronájem bytu 3+1 139 m²;61000;50.061638640187994;14.431232359812007;1;2;7;-;-
42;4117087564;Pronájem bytu 2+1 196 m²;113000;50.069900640187996;14.432285359812006;1;2;5;-;-
43;1720223052;Pronájem bytu 1+kk 59 m²;37000;50.060802640187994;14.452565359812006;1;2;2;-;-
44;2365364044;Pronájem bytu 4+kk 263 m²;178000;50.059383640187995;14.409147359812007;1;2;8;-;-
45;2609415500;Pronájem bytu 3+kk 134 m²;89000;50.060802640187994;14.452565359812006;1;2;6;-;-
46;2666875228;Prodej bytu 2+kk 115 m²;29213000;50.073185640187994;14.438636359812007;1;1;4;2+kk;115.0
47;2986121036;Pronájem bytu 4+kk 253 m²;127000;50.059383640187995;14.409147359812007;1;2;8;-;-
48;3012068684;Pronájem bytu 3+kk 137 m²;89000;50.060802640187994;14.452565359812006;1;2;6;-;-
49;3988821580;Prodej bytu 4+1 329 m²;0;50.072605640187994;14.421832359812006;1;1;9;4+1;329.0
50;2150896972;Prodej bytu 3+1 81 m²;5247000;50.220524640187996;12.892158359812006;1;1;7;3+1;81.0
51;221775180;Pronájem bytu 1+kk 55 m²;24000;50.03860164018799;14.520171359812007;1;2;2;-;-
52;967587148;Pronájem bytu 2+kk 67 m²;28000;50.05900264018799;14.430716359812006;1;2;4;-;-
53;1725547852;Prodej bytu 1+kk 45 m²;10043000;50.06205064018799;14.437088359812007;1;1;2;1+kk;45.0
54;2828862796;Pronájem bytu 2+kk 62 m²;39000;50.07017164018799;14.443097359812006;1;2;4;-;-
55;3151492428;Prodej bytu 4+kk 204 m² (Mezonet);32794000;50.01310064018799;14.388228359812006;1;1;8;4+kk;204.0
56;3672106316;Prodej bytu 3+kk 150 m²;24460000;50.06205064018799;14.437088359812007;1;1;6;3+kk;150.0
57;4026934604;Prodej bytu 1+kk 42 m²;7128000;50.04332064018799;14.401149359812006;1;1;2;1+kk;42.0
58;2569176396;Prodej bytu 3+1 99 m²;4736000;49.69168564018799;14.913331359812007;1;1;7;3+1;99.0
59;2763425100;Pronájem bytu 4+kk 253 m²;0;50.059147640187994;14.408057359812007;1;2;8;-;-
60;2643395916;Prodej bytu 2+1 77 m² (Jednopodlažní);8743000;50.126377640188;14.520578359812006;1;1;5;2+1;77.0
61;1634211148;Pronájem bytu 2+1 80 m²;0;49.42794864018799;17.471271359812008;1;2;5;-;-
62;526914892;Pronájem bytu 2+1 78 m²;0;49.42960064018799;17.469466359812007;1;2;5;-;-
63;2260927820;Pronájem bytu 1+kk 36 m²;9000;49.38649064018799;13.339195359812006;1;2;2;-;-
64;2624066892;Pronájem bytu 2+1 81 m²;0;49.426475640187995;17.471408359812006;1;2;5;-;-
65;3446150476;Pronájem bytu 2+1 80 m²;0;49.426872640187995;17.471349359812006;1;2;5;-;-
66;1533547852;Pronájem bytu 2+1 81 m²;0;49.429531640187996;17.469634359812005;1;2;5;-;-
67;386544972;Prodej bytu 3+1 122 m²;10494000;50.044968640187996;14.303532359812007;1;1;7;3+1;122.0
68;1568216396;Pronájem bytu 1+kk 33 m²;27000;50.088272640187995;14.404769359812006;1;2;2;-;-
69;524948812;Pronájem bytu 5+1 390 m² (Mezonet);153000;50.07511964018799;14.433812359812007;1;2;11;-;-
70;2422932812;Pronájem bytu 1+kk 43 m²;18000;50.03162464018799;14.503905359812007;1;2;2;-;-
71;1628185932;Pronájem bytu 2+kk 72 m²;35000;50.06458364018799;14.470590359812007;1;2;4;-;-
72;2154894668;Prodej bytu 2+1 75 m²;3192000;49.815239640188;18.197940359812005;1;1;5;2+1;75.0
73;740214092;Pronájem bytu 4+kk 190 m²;58000;50.075664640187995;14.346197359812006;1;2;8;-;-
74;2182333772;Prodej bytu 3+1 106 m²;10705000;50.056076640187996;14.390102359812007;1;1;7;3+1;106.0
75;3301115212;Prodej bytu 2+1 87 m²;3862000;50.522102640187995;15.750956359812006;1;1;5;2+1;87.0
76;1494541644;Prodej bytu 3+kk 129 m²;17344000;49.984978640188;14.421566359812006;1;1;6;3+kk;129.0
77;2259993932;Prodej bytu 4+kk 177 m²;21119000;50.031597640188;14.318070359812006;1;1;8;4+kk;177.0
78;1707279692;Pronájem bytu 1+kk 46 m²;21000;50.124157640187995;14.535897359812006;1;2;2;-;-
79;3368236364;Prodej bytu 3+1 94 m²;3498000;49.28568364018799;14.477415359812007;1;1;7;3+1;94.0
80;3399890252;Pronájem bytu 3+kk 134 m²;23000;49.296173640187995;14.148518359812007;1;2;6;-;-
81;3586327884;Prodej bytu 2+kk 72 m²;9994000;49.22473164018799;16.545075359812007;1;1;4;2+kk;72.0
82;551822668;Prodej bytu 2+1 80 m²;5684000;50.12035464018799;14.145261359812007;1;1;5;2+1;80.0
83;1747924300;Prodej bytu 4+kk 218 m² (Mezonet);15289000;50.069424640188;14.257964359812007;1;1;8;4+kk;218.0
84;3807384908;Prodej bytu 3+kk 116 m²;11499000;49.95637964018799;14.518017359812006;1;1;6;3+kk;116.0
85;1095608140;Pronájem bytu 1+kk 48 m²;11000;49.75981964018799;13.263257359812007;1;2;2;-;-
86;2062746956;Prodej bytu 1+kk 42 m²;1647000;49.776245640187994;18.248986359812008;1;1;2;1+kk;42.0
87;3341759820;Pronájem bytu 2+1 65 m²;11000;49.29116464018799;14.167006359812007;1;2;5;-;-
88;23586124;Prodej bytu 3+kk 104 m²;10930000;50.03006064018799;14.468429359812006;1;1;6;3+kk;104.0
89;965281100;Pronájem bytu 2+1 77 m²;18000;49.29858064018799;14.155809359812007;1;2;5;-;-
90;481653836;Prodej bytu 4+kk 214 m²;0;48.83363364018799;16.07492035981201;1;1;8;4+kk;214.0
91;3166008396;Prodej bytu 1+kk 58 m²;0;48.83363364018799;16.07492035981201;1;1;2;1+kk;58.0
92;1066313036;Prodej bytu 2+kk 97 m²;6660000;49.278336640187995;16.237462359812007;1;1;4;2+kk;97.0
93;698815820;Pronájem bytu 2+kk 64 m²;17000;49.299145640187994;14.154263359812006;1;2;4;-;-
94;3501471052;Pronájem bytu 2+1 93 m²;17000;49.29406064018799;14.166840359812007;1;2;5;-;-
95;3537290572;Prodej bytu 2+kk 75 m²;8235000;49.99812364018799;14.414675359812007;1;1;4;2+kk;75.0
96;4144575820;Pronájem bytu 2+kk 72 m²;64000;50.06897364018799;14.448716359812007;1;2;4;-;-
97;2848978252;Prodej bytu 3+kk 182 m²;8730000;49.29159564018799;14.162267359812006;1;1;6;3+kk;182.0
98;2657674572;Prodej bytu 3+kk 112 m²;6764000;49.278336640187995;16.237462359812007;1;1;6;3+kk;112.0
99;3013338444;Prodej bytu 2+kk 78 m²;0;48.83363364018799;16.07492035981201;1;1;4;2+kk;78.0
100;3768313164;Prodej bytu 3+kk 129 m²;0;48.83363364018799;16.07492035981201;1;1;6;3+kk;129.0
101;1464173900;Prodej bytu 1+kk 48 m²;3192000;48.85726264018799;16.058555359812008;1;1;2;1+kk;48.0
102;1663505740;Prodej bytu 3+1 148 m²;31337000;50.064972640187996;14.419975359812007;1;1;7;3+1;148.0
103;2650289484;Prodej bytu 3+1 119 m²;9998000;49.290958640187995;14.176984359812007;1;1;7;3+1;119.0
104;1071252812;Pronájem bytu 2+kk 75 m²;52000;50.07741964018799;14.463921359812007;1;2;4;-;-
105;3483043148;Prodej bytu 1+kk 52 m²;4008000;49.29166864018799;14.167467359812006;1;1;2;1+kk;52.0
106;72688972;Prodej bytu 4+1 113 m²;4328000;48.889458640187996;15.609750359812006;1;1;9;4+1;113.0
107;1302005068;Prodej bytu 1+kk 56 m²;3935000;49.298283640188;14.167546359812007;1;1;2;1+kk;56.0
108;1043072332;Prodej bytu 1+kk 45 m²;3206000;48.853058640187996;16.05940935981201;1;1;2;1+kk;45.0
109;2821920076;Prodej bytu 3+1 126 m²;6631000;48.803741640187994;16.126946359812006;1;1;7;3+1;126.0
110;2532914508;Pronájem bytu 1+1 39 m²;11000;49.290176640187994;14.173043359812006;1;2;3;-;-
111;234825036;Prodej bytu 2+1 106 m²;9459000;49.17795964018799;16.631856359812005;1;1;5;2+1;106.0
112;4104377676;Pronájem bytu 2+kk 78 m²;17000;49.28646864018799;14.177859359812008;1;2;4;-;-
113;2650662220;Prodej bytu 2+kk 84 m²;6267000;50.086620640187995;15.210491359812007;1;1;4;2+kk;84.0
114;3310224716;Prodej bytu 3+1 100 m²;5086000;48.84013764018799;16.074700359812006;1;1;7;3+1;100.0
115;3115394380;Pronájem bytu 1+1 56 m²;15000;49.29953464018799;14.160311359812006;1;2;3;-;-
116;2126382412;Prodej bytu 4+1 128 m²;6182000;48.863541640188;16.050035359812007;1;1;9;4+1;128.0
117;3372598604;Pronájem bytu 2+kk 106 m²;18000;49.293072640187994;14.169275359812007;1;2;4;-;-
118;267531596;Pronájem bytu 3+1 153 m²;60000;50.063332640187994;14.456307359812007;1;2;7;-;-
119;1152005452;Pronájem bytu 2+kk 72 m²;40000;50.060745640187996;14.471200359812007;1;2;4;-;-
120;3828487500;Pronájem bytu 2+1 78 m²;18000;49.13795164018799;17.025401359812008;1;2;5;-;-
121;2654025036;Prodej bytu 4+kk 123 m²;5815000;49.805088640187996;18.383435359812008;1;1;8;4+kk;123.0
122;3157341516;Prodej bytu 3+kk 119 m²;6981000;49.805088640187996;18.383435359812008;1;1;6;3+kk;119.0
123;1542653260;Pronájem bytu 2+1 87 m²;16000;49.00346464018799;15.115903359812007;1;2;5;-;-
124;2884830540;Pronájem bytu 3+1 131 m²;14000;50.65206564018799;14.114416359812006;1;2;7;-;-
125;3421701452;Pronájem bytu 1+1 65 m²;18000;49.206146640187995;16.647269359812007;1;2;3;-;-
126;3015120204;Prodej bytu 3+kk 179 m² (Jednopodlažní);22737000;49.18108064018799;16.590522359812006;1;1;6;3+kk;179.0
127;418579788;Pronájem bytu 2+kk 61 m²;18000;50.607609640187995;13.839499359812006;1;2;4;-;-
128;326903116;Prodej bytu 2+kk 102 m²;7121000;49.13061164018799;16.890050359812008;1;1;4;2+kk;102.0
129;4293072204;Prodej bytu 4+kk 141 m²;17006000;50.143311640187996;14.541360359812007;1;1;8;4+kk;141.0
130;3379164492;Pronájem bytu 3+1 94 m²;16000;49.19111664018799;17.601453359812005;1;2;7;-;-
131;3673715788;Prodej bytu 2+kk 68 m²;0;49.12852164018799;13.574341359812006;1;1;4;2+kk;68.0
132;2812872012;Pronájem bytu 1+kk 24 m²;12000;50.112934640187994;14.123042359812006;1;2;2;-;-
133;1154528844;Prodej bytu 3+kk 142 m²;0;49.70582664018799;13.391199359812006;1;1;6;3+kk;142.0
134;728974412;Prodej bytu 4+kk 166 m² (Mezonet);8730000;49.765274640188;18.451457359812007;1;1;8;4+kk;166.0
135;3326297164;Prodej bytu 4+kk 123 m²;7273000;49.743328640188;18.45889235981201;1;1;8;4+kk;123.0
136;3102934348;Pronájem bytu 4+kk 160 m²;51000;50.03013264018799;14.530122359812006;1;2;8;-;-
137;2348246092;Prodej bytu 3+kk 170 m²;29077000;50.02418964018799;14.443106359812006;1;1;6;3+kk;170.0
138;703792460;Pronájem bytu 2+kk 65 m²;14000;50.75130864018799;15.072997359812007;1;2;4;-;-
139;3198489932;Prodej bytu 4+kk 138 m²;24559000;50.047695640187996;14.482392359812007;1;1;8;4+kk;138.0
140;103421260;Pronájem bytu 3+1 189 m²;65000;50.087898640187994;14.440450359812006;1;2;7;-;-
141;419239244;Pronájem bytu 4+1 201 m²;55000;50.07511964018799;14.344168359812006;1;2;9;-;-
142;3696756044;Pronájem bytu 3+kk 236 m²;67000;50.063469640187996;14.432329359812007;1;2;6;-;-
143;4291827020;Prodej bytu 3+kk 236 m²;28859000;50.064392640188;14.431627359812007;1;1;6;3+kk;236.0
144;122623308;Prodej bytu 5+1 327 m²;0;50.063869640187995;14.457954359812007;1;1;11;5+1;327.0
145;2962036044;Prodej bytu 3+kk 198 m²;29864000;50.069008640187995;14.445022359812006;1;1;6;3+kk;198.0
146;3975419212;Pronájem bytu 2+kk 72 m²;51000;50.059383640187995;14.409147359812007;1;2;4;-;-
147;1056113996;Prodej bytu 2+kk 116 m² (Podkrovní);12374000;50.092243640187995;14.464087359812007;1;1;4;2+kk;116.0
148;2036143436;Prodej bytu 1+kk 61 m²;7273000;49.204941640188;16.612117359812007;1;1;2;1+kk;61.0
149;2205951308;Prodej bytu 1+kk 75 m²;5698000;49.130653640187994;16.889901359812008;1;1;2;1+kk;75.0
150;250807628;Prodej bytu 2+1 74 m²;6267000;50.18368964018799;15.825729359812007;1;1;5;2+1;74.0
151;1102714188;Pronájem bytu 2+kk 77 m²;39000;50.01534364018799;14.376454359812007;1;2;4;-;-
152;3941778764;Prodej bytu 3+kk 122 m²;10177000;48.963596640187994;14.453369359812006;1;1;6;3+kk;122.0
153;3955410252;Prodej bytu 2+kk 71 m²;6980000;48.963596640187994;14.453369359812006;1;1;4;2+kk;71.0
154;4277323084;Prodej bytu 3+kk 90 m²;8386000;48.963596640187994;14.453369359812006;1;1;6;3+kk;90.0
155;2935162188;Prodej bytu 3+kk 118 m²;8526000;50.12950964018799;14.125410359812006;1;1;6;3+kk;118.0
156;4060939596;Prodej bytu 2+1 93 m² (Jednopodlažní);3789000;50.679596640187995;14.543562359812007;1;1;5;2+1;93.0
157;3329951052;Prodej bytu 2+kk 81 m² (Jednopodlažní);7374000;49.83582764018799;13.395703359812007;1;1;4;2+kk;81.0
158;1094255948;Pronájem bytu 2+kk 78 m²;29000;50.098026640187996;14.528806359812007;1;2;4;-;-
159;3093497164;Pronájem bytu 3+1 129 m²;33000;50.02195464018799;14.606422359812006;1;2;7;-;-
160;3770094924;Pronájem bytu 3+1 171 m²;52000;50.05615664018799;14.456586359812007;1;2;7;-;-
161;1878197580;Pronájem bytu 1+1 53 m²;11000;49.856033640187995;18.435084359812006;1;2;3;-;-
162;3231847756;Pronájem bytu 1+kk 32 m²;15000;49.227203640187994;17.703410359812008;1;2;2;-;-
163;2735760460;Prodej bytu 2+1 80 m²;3337000;49.53564864018799;17.74424135981201;1;1;5;2+1;80.0
164;250783052;Prodej bytu 3+1 102 m²;3192000;50.30209064018799;13.548592359812007;1;1;7;3+1;102.0
165;687375692;Prodej bytu 3+1 104 m²;4066000;48.91779764018799;14.637112359812006;1;1;7;3+1;104.0
166;1959322956;Prodej bytu 1+kk 46 m²;4153000;49.57861764018799;17.284471359812006;1;1;2;1+kk;46.0
167;3711681868;Prodej bytu 2+1 83 m²;2259000;50.313503640187996;12.878072359812007;1;1;5;2+1;83.0
168;2156598604;Prodej bytu 3+1 109 m²;7914000;50.19800664018799;15.828857359812007;1;1;7;3+1;109.0
169;2221413708;Prodej bytu 2+1 75 m²;2550000;49.779633640187996;18.256129359812007;1;1;5;2+1;75.0
170;2096301388;Prodej bytu 1+1 36 m²;8555000;50.063427640187996;14.446993359812007;1;1;3;1+1;36.0
171;3853763916;Pronájem bytu 2+1 83 m²;16000;49.104660640187994;16.352038359812006;1;2;5;-;-
172;566347084;Prodej bytu 1+kk 51 m²;6690000;49.17136864018799;16.609498359812008;1;1;2;1+kk;51.0
173;3460838732;Pronájem bytu 3+kk 103 m²;26000;49.17587764018799;16.633527359812007;1;2;6;-;-
174;3717608780;Pronájem bytu 1+kk 33 m²;15000;49.19175064018799;16.643004359812007;1;2;2;-;-
